Country,Gender,Quantity,Script,Type,Population
CN,x,,x,x,1392730000
IN,x,x,,,1352617328
US,,,,,326687501
ID,,x,,x,267663435
BR,,,,,209469333
NG,,,,,195874740
BD,x,,x,x,161356039
RU,,,x,,144478050
JP,,x,x,,126529100
MX,,,,,126190788
ET,x,x,x,x,109224559
PH,,x,,,106651922
EG,x,,x,,98423595
DE,,,,,82905782
TR,x,,x,x,82319724
IR,,,x,,81800269
FR,,,,,66977107
GB,,,,,66460344
IT,,,,,60421760
ZA,,,,,57779622
KR,x,x,x,x,51606633
CO,,,,,49648685
ES,,,,,46796540
AR,,,,,44494502
DZ,x,,x,x,42228429
SD,x,,x,,41801533
IQ,x,,x,,38433600
PL,,,,,37974750
AF,x,,x,x,37172386
CA,,,,,37057765
MA,x,,,x,36029138
SA,x,,x,,33699947
PE,,,,,31989256
MY,,,,x,31528585
AO,,,,x,30809762
GH,,,,x,29767108
YE,x,,x,x,28498687
CM,,,,,25216237
TW,,,x,x,23123866
BF,x,x,,x,19751535
CL,,,,,18729160
KZ,,,x,,18272430
GT,,,,x,17247807
NL,,,,,17231624
EC,,,,x,17084357
SY,x,,x,x,16906283
KH,x,x,x,x,16249798
TN,x,,,x,11565204
BE,,,,,11433256
BO,,,,,11353142
BI,,x,,x,11175378
HT,,x,,x,11123176
GR,,,x,,10731726
CZ,,,,,10629928
PT,,,,,10283822
SE,,,,,10175214
JO,x,,x,,9956011
AZ,x,x,x,,9939800
HU,,,,,9775564
AE,x,,x,,9630959
HN,,x,,x,9587522
IL,,,x,,8882800
AT,,,,,8840521
CH,,,,,8513227
HK,,,x,x,7451000
BG,,,x,,7025037
RS,,,x,,6982604
LB,,,x,x,6848925
LY,x,,x,x,6678567
SV,,x,,x,6420744
TM,,x,x,,5850908
DK,,,,,5793636
SG,,,,x,5638676
FI,,,,,5515525
NO,,,,x,5311916
CR,,,,,4999441
IE,,,,,4867309
OM,x,,x,,4829483
PS,,,x,,4569087
PA,,,,,4176873
KW,x,,,,4137309
HR,,,,,4087843
GE,,x,x,,3726549
UY,,,,,3449299
PR,,,,x,3195153
JM,,,,,2934855
AL,,,,,2866376
LT,,,x,,2801543
QA,x,,,,2781677
MD,,x,x,,2706049
NA,,,,,2448255
BW,,,,,2254126
SI,,,,,2073894
BH,,,x,x,1569439
EE,,x,x,,1321977
MU,,,,,1265303
CY,,,x,,1189265
DJ,,x,x,x,958920
FJ,,x,,x,883483
MO,,,x,x,631636
LU,,,,,607950
MV,x,x,x,,515696
MT,,,,,484630
BN,,,,,428962
IS,,x,,x,352721
